id,client_case_id,document,document_type,expected_storage_path,created_at
1378,206,"Business.rar",rar,"uploads/docs/Business.rar",2021-12-01T22:06:45
1379,206,"Personal.rar",rar,"uploads/docs/Personal.rar",2021-12-01T22:09:09
1380,206,"rxtra.rar",rar,"uploads/docs/rxtra.rar",2021-12-01T22:09:28
1437,246,"Bank Statment (2).jpg",jpg,"uploads/docs/Bank Statment (2).jpg",2021-12-17T15:00:41
1438,246,"Bank Statment (3).jpg",jpg,"uploads/docs/Bank Statment (3).jpg",2021-12-17T15:00:41
1440,246,"Bank Statment (5).jpg",jpg,"uploads/docs/Bank Statment (5).jpg",2021-12-17T15:00:41
1441,246,"Bank Statment (6).jpg",jpg,"uploads/docs/Bank Statment (6).jpg",2021-12-17T15:00:41
1442,246,"Bank Statment (7).jpg",jpg,"uploads/docs/Bank Statment (7).jpg",2021-12-17T15:00:41
1443,246,"Bank Statment (8).jpg",jpg,"uploads/docs/Bank Statment (8).jpg",2021-12-17T15:00:41
1444,246,"Bank Statment (9).jpg",jpg,"uploads/docs/Bank Statment (9).jpg",2021-12-17T15:00:41
1445,246,"Bank Statment (10).jpg",jpg,"uploads/docs/Bank Statment (10).jpg",2021-12-17T15:00:41
1446,246,"Bank Statment (11).jpg",jpg,"uploads/docs/Bank Statment (11).jpg",2021-12-17T15:00:41
1447,246,"Bank Statment (12).jpg",jpg,"uploads/docs/Bank Statment (12).jpg",2021-12-17T15:00:41
1448,246,"Bank Statment (13).jpg",jpg,"uploads/docs/Bank Statment (13).jpg",2021-12-17T15:00:41
1449,246,"Bank Statment (14).jpg",jpg,"uploads/docs/Bank Statment (14).jpg",2021-12-17T15:00:41
1450,246,"Bank Statment (15).jpg",jpg,"uploads/docs/Bank Statment (15).jpg",2021-12-17T15:00:41
1550,247,"Bank Statment (2).jpg",jpg,"uploads/docs/Bank Statment (2).jpg",2021-12-17T15:15:49
1551,247,"Bank Statment (3).jpg",jpg,"uploads/docs/Bank Statment (3).jpg",2021-12-17T15:15:49
1553,247,"Bank Statment (5).jpg",jpg,"uploads/docs/Bank Statment (5).jpg",2021-12-17T15:15:49
1554,247,"Bank Statment (6).jpg",jpg,"uploads/docs/Bank Statment (6).jpg",2021-12-17T15:15:49
1555,247,"Bank Statment (7).jpg",jpg,"uploads/docs/Bank Statment (7).jpg",2021-12-17T15:15:49
1556,247,"Bank Statment (8).jpg",jpg,"uploads/docs/Bank Statment (8).jpg",2021-12-17T15:15:49
1557,247,"Bank Statment (9).jpg",jpg,"uploads/docs/Bank Statment (9).jpg",2021-12-17T15:15:49
1558,247,"Bank Statment (10).jpg",jpg,"uploads/docs/Bank Statment (10).jpg",2021-12-17T15:15:49
1559,247,"Bank Statment (11).jpg",jpg,"uploads/docs/Bank Statment (11).jpg",2021-12-17T15:15:49
1560,247,"Bank Statment (12).jpg",jpg,"uploads/docs/Bank Statment (12).jpg",2021-12-17T15:15:49
